,disno,statea,namea,stateb,nameb,dyad.id,prev.strt.date,prev.end.date,strt.date,end.date,ici
2141,3245,710,CHN,365,RUS,365710,NA,NA,1862-06-01,1864-10-31,NA
2142,3642,710,CHN,365,RUS,365710,1862-06-01,1864-10-31,1870-08-01,1871-07-31,2100
2143,3247,710,CHN,365,RUS,365710,1870-08-01,1871-07-31,1871-07-01,1872-01-31,-30
2144,104,710,CHN,365,RUS,365710,1871-07-01,1872-01-31,1880-03-01,1880-07-31,2952
2145,3249,710,CHN,365,RUS,365710,1880-03-01,1880-07-31,1891-07-01,1892-10-31,3987
2146,378,710,CHN,365,RUS,365710,1891-07-01,1892-10-31,1898-03-24,1898-03-24,1970
2147,31,710,CHN,365,RUS,365710,1898-03-24,1898-03-24,1900/05/30,1900/08/16,797
2148,3250,710,CHN,365,RUS,365710,1900/05/30,1900/08/16,1900/08/30,1900/10/10,14
2149,3645,710,CHN,365,RUS,365710,1900/08/30,1900/10/10,1903/04/18,1904/04/28,920
2150,3255,710,CHN,365,RUS,365710,1903/04/18,1904/04/28,1912/06/01,1912/08/26,2956
2151,3254,710,CHN,365,RUS,365710,1912/06/01,1912/08/26,1912/08/01,1913/11/05,-25
2152,3258,710,CHN,365,RUS,365710,1912/08/01,1913/11/05,1914/06/01,1914/12/31,208
2153,1142,710,CHN,365,RUS,365710,1914/06/01,1914/12/31,1917/12/05,1917/12/29,1070
2154,2700,710,CHN,365,RUS,365710,1917/12/05,1917/12/29,1919/07/01,1919/10/25,549
2155,3257,710,CHN,365,RUS,365710,1919/07/01,1919/10/25,1921/07/06,1921/11/05,620
2156,3259,710,CHN,365,RUS,365710,1921/07/06,1921/11/05,1921/09/01,1922/03/31,-65
2157,1668,710,CHN,365,RUS,365710,1921/09/01,1922/03/31,1922/11/01,1923/09/30,215
2158,2208,710,CHN,365,RUS,365710,1922/11/01,1923/09/30,1926/03/15,1926/03/15,897
2159,1674,710,CHN,365,RUS,365710,1926/03/15,1926/03/15,1927/02/08,1927/04/30,330
2160,41,710,CHN,365,RUS,365710,1927/02/08,1927/04/30,1929/05/27,1929/12/03,758
2161,3655,710,CHN,365,RUS,365710,1929/05/27,1929/12/03,1933/12/01,1934/01/31,1459
2162,3656,710,CHN,365,RUS,365710,1933/12/01,1934/01/31,1937/09/01,1938/01/31,1309
2163,3263,710,CHN,365,RUS,365710,1937/09/01,1938/01/31,1943/03/01,1943/06/30,1855
2164,3264,710,CHN,365,RUS,365710,1943/03/01,1943/06/30,1944/11/07,1945/08/14,496
2165,2704,710,CHN,365,RUS,365710,1944/11/07,1945/08/14,1945/10/06,1946/05/03,53
2166,3265,710,CHN,365,RUS,365710,1945/10/06,1946/05/03,1947/05/12,1948/02/28,374
2167,2707,710,CHN,365,RUS,365710,1947/05/12,1948/02/28,1964/10/15,1965/04/15,6074
2168,2708,710,CHN,365,RUS,365710,1964/10/15,1965/04/15,1965/12/01,1966/01/15,230
2169,2710,710,CHN,365,RUS,365710,1965/12/01,1966/01/15,1967/08/10,1967/08/17,572
2170,343,710,CHN,365,RUS,365710,1967/08/10,1967/08/17,1966/10/02,1968/06/07,-319
2171,2711,710,CHN,365,RUS,365710,1966/10/02,1968/06/07,1968/08/01,1968/09/28,55
2172,349,710,CHN,365,RUS,365710,1968/08/01,1968/09/28,1969/03/02,1969/10/20,155
2173,364,710,CHN,365,RUS,365710,1969/03/02,1969/10/20,1974/03/14,1974/09/14,1606
2174,2713,710,CHN,365,RUS,365710,1974/03/14,1974/09/14,1974/12/01,1974/12/31,78
2175,2714,710,CHN,365,RUS,365710,1974/12/01,1974/12/31,1977/07/04,1977/08/05,916
2176,2715,710,CHN,365,RUS,365710,1977/07/04,1977/08/05,1978/03/11,1978/05/09,218
2177,3007,710,CHN,365,RUS,365710,1978/03/11,1978/05/09,1978/12/07,1979/02/07,212
2178,2716,710,CHN,365,RUS,365710,1978/12/07,1979/02/07,1979/01/27,1980/02/14,-11
2179,2717,710,CHN,365,RUS,365710,1979/01/27,1980/02/14,1980/10/05,1980/10/29,234
2180,2718,710,CHN,365,RUS,365710,1980/10/05,1980/10/29,1986/07/12,1986/07/12,2082
2181,4052,710,CHN,365,RUS,365710,1986/07/12,1986/07/12,1993/06/09,1993/06/12,2524
2182,4104,710,CHN,365,RUS,365710,1993/06/09,1993/06/12,1994/06/01,1994/06/30,354
2183,4485,710,CHN,365,RUS,365710,1994/06/01,1994/06/30,2009/02/19,2009/02/19,5348
2184,4640,710,CHN,365,RUS,365710,2009/02/19,2009/02/19,2012/07/17,2012/07/20,1244
