,disno,statea,namea,stateb,nameb,dyad.id,prev.strt.date,prev.end.date,strt.date,end.date,ici
299,220,710,CHN,2,USA,2710,NA,NA,1870-08-22,1870-10-05,NA
300,31,710,CHN,2,USA,2710,1870-08-22,1870-10-05,1900/05/30,1900/08/16,10829
301,1650,710,CHN,2,USA,2710,1900/05/30,1900/08/16,1905/07/01,1906/03/06,1780
302,2208,710,CHN,2,USA,2710,1905/07/01,1906/03/06,1926/03/15,1926/03/15,7314
303,145,710,CHN,2,USA,2710,1926/03/15,1926/03/15,1927/01/05,1927/03/28,296
304,633,710,CHN,2,USA,2710,1927/01/05,1927/03/28,1950/06/27,1950/08/07,8492
306,2052,710,CHN,2,USA,2710,1949/10/01,1950/01/24,1951/02/16,1952/10/16,388
305,634,710,CHN,2,USA,2710,1950/06/27,1950/08/07,1949/10/01,1950/01/24,-310
307,51,710,CHN,2,USA,2710,1951/02/16,1952/10/16,1950/09/30,1953/07/27,-747
308,2035,710,CHN,2,USA,2710,1950/09/30,1953/07/27,1953/08/01,1953/09/02,5
309,2033,710,CHN,2,USA,2710,1953/08/01,1953/09/02,1954/07/23,1954/07/27,324
310,2032,710,CHN,2,USA,2710,1954/07/23,1954/07/27,1955/05/11,1955/05/11,288
311,50,710,CHN,2,USA,2710,1955/05/11,1955/05/11,1953/02/11,1956/01/19,-819
312,53,710,CHN,2,USA,2710,1953/02/11,1956/01/19,1956/08/22,1956/08/23,216
313,2049,710,CHN,2,USA,2710,1956/08/22,1956/08/23,1957/06/12,1957/06/13,293
314,173,710,CHN,2,USA,2710,1957/06/12,1957/06/13,1958/07/22,1958/12/19,404
315,2002,710,CHN,2,USA,2710,1958/07/22,1958/12/19,1960/05/27,1960/05/27,525
316,1363,710,CHN,2,USA,2710,1960/05/27,1960/05/27,1961/04/02,1961/04/20,310
317,172,710,CHN,2,USA,2710,1961/04/02,1961/04/20,1962/02/25,1962/12/19,311
319,1353,710,CHN,2,USA,2710,1962/02/26,1962/02/26,1962/05/12,1964/07/31,75
318,3361,710,CHN,2,USA,2710,1962/02/25,1962/12/19,1962/02/26,1962/02/26,-296
320,1216,710,CHN,2,USA,2710,1962/05/12,1964/07/31,1965/12/31,1966/05/31,518
321,2929,710,CHN,2,USA,2710,1965/12/31,1966/05/31,1965/04/09,1967/11/23,-417
322,2936,710,CHN,2,USA,2710,1965/04/09,1967/11/23,1969/09/19,1969/10/04,666
323,611,710,CHN,2,USA,2710,1969/09/19,1969/10/04,1964/07/06,1971/12/31,-1916
325,2948,710,CHN,2,USA,2710,1971/02/09,1971/03/09,1972/08/22,1972/08/22,532
324,2947,710,CHN,2,USA,2710,1964/07/06,1971/12/31,1971/02/09,1971/03/09,-325
326,4065,710,CHN,2,USA,2710,1972/08/22,1972/08/22,1994/08/23,1994/10/31,8036
327,4064,710,CHN,2,USA,2710,1994/08/23,1994/10/31,1995/12/19,1996/03/28,414
328,4088,710,CHN,2,USA,2710,1995/12/19,1996/03/28,1999/07/30,2000/03/31,1219
329,4280,710,CHN,2,USA,2710,1999/07/30,2000/03/31,2001/04/01,2001/04/05,366
332,4450,710,CHN,2,USA,2710,2001/03/23,2001/03/23,2002/09/19,2002/09/19,545
330,4281,710,CHN,2,USA,2710,2001/04/01,2001/04/05,2001/04/25,2001/08/17,20
331,4336,710,CHN,2,USA,2710,2001/04/25,2001/08/17,2001/03/23,2001/03/23,-147
333,4486,710,CHN,2,USA,2710,2002/09/19,2002/09/19,2009/03/09,2009/03/19,2363
334,4698,710,CHN,2,USA,2710,2009/03/09,2009/03/19,2011/06/29,2011/06/29,832
335,4605,710,CHN,2,USA,2710,2011/06/29,2011/06/29,2013/12/05,2013/12/05,890
337,4606,710,CHN,2,USA,2710,2013/11/26,2013/11/29,2014/08/19,2014/08/19,263
336,4694,710,CHN,2,USA,2710,2013/12/05,2013/12/05,2013/11/26,2013/11/29,-9
