,disno,statea,namea,stateb,nameb,dyad.id,prev.strt.date,prev.end.date,strt.date,end.date,ici
1175,370,255,GMY,220,FRN,220255,NA,NA,1830-08-28,1830-09-30,NA
1176,25,255,GMY,220,FRN,220255,1830-08-28,1830-09-30,1831-08-15,1831-09-30,319
1177,368,255,GMY,220,FRN,220255,1831-08-15,1831-09-30,1832-09-15,1833-05-21,351
1178,154,255,GMY,220,FRN,220255,1832-09-15,1833-05-21,1850-11-08,1850-11-29,6380
1179,115,255,GMY,220,FRN,220255,1850-11-08,1850-11-29,1859-06-24,1859-07-12,3129
1180,509,255,GMY,220,FRN,220255,1859-06-24,1859-07-12,1866-08-05,1866-08-07,2581
1181,88,255,GMY,220,FRN,220255,1866-08-05,1866-08-07,1870-07-06,1871-02-25,1429
1182,2168,255,GMY,220,FRN,220255,1870-07-06,1871-02-25,1871-05-07,1871-05-07,71
1183,2169,255,GMY,220,FRN,220255,1871-05-07,1871-05-07,1871-06-24,1871-06-29,48
1184,2170,255,GMY,220,FRN,220255,1871-06-24,1871-06-29,1885-11-01,1885-11-30,5239
1185,2369,255,GMY,220,FRN,220255,1885-11-01,1885-11-30,1887-04-20,1887-04-28,506
1186,315,255,GMY,220,FRN,220255,1887-04-20,1887-04-28,1911/07/01,1911/10/11,8829
1187,257,255,GMY,220,FRN,220255,1911/07/01,1911/10/11,1914/07/31,1918/11/11,1024
1188,1269,255,GMY,220,FRN,220255,1914/07/31,1918/11/11,1919/04/16,1919/12/15,156
1189,211,255,GMY,220,FRN,220255,1919/04/16,1919/12/15,1920/04/02,1920/07/16,109
1190,127,255,GMY,220,FRN,220255,1920/04/02,1920/07/16,1921/03/03,1921/11/05,230
1191,177,255,GMY,220,FRN,220255,1921/03/03,1921/11/05,1922/08/15,1923/07/11,283
1192,174,255,GMY,220,FRN,220255,1922/08/15,1923/07/11,1936/03/07,1936/03/07,4623
1193,12,255,GMY,220,FRN,220255,1936/03/07,1936/03/07,1938/09/07,1938/09/30,914
1194,258,255,GMY,220,FRN,220255,1938/09/07,1938/09/30,1939/03/31,1940/06/22,182
1195,2581,255,GMY,220,FRN,220255,1939/03/31,1940/06/22,1944/08/25,1945/05/07,1525
