,disno,statea,namea,stateb,nameb,dyad.id,prev.strt.date,prev.end.date,strt.date,end.date,ici
3346,1077,770,PAK,750,IND,750770,NA,NA,1947/09/22,1947/11/10,NA
3347,1238,770,PAK,750,IND,750770,1947/09/22,1947/11/10,1947/09/26,1948/12/31,-45
3348,2625,770,PAK,750,IND,750770,1947/09/26,1948/12/31,1949/04/14,1949/07/19,104
3349,1308,770,PAK,750,IND,750770,1949/04/14,1949/07/19,1950/02/23,1950/06/13,219
3350,1079,770,PAK,750,IND,750770,1950/02/23,1950/06/13,1951/03/13,1951/08/14,273
3351,2626,770,PAK,750,IND,750770,1951/03/13,1951/08/14,1952/10/04,1952/11/02,417
3352,1300,770,PAK,750,IND,750770,1952/10/04,1952/11/02,1955/05/07,1955/07/12,916
3353,1301,770,PAK,750,IND,750770,1955/05/07,1955/07/12,1956/02/17,1956/03/26,220
3354,2627,770,PAK,750,IND,750770,1956/02/17,1956/03/26,1956/03/18,1956/03/26,-8
3355,2850,770,PAK,750,IND,750770,1956/03/18,1956/03/26,1957/03/19,1957/03/19,358
3356,1302,770,PAK,750,IND,750770,1957/03/19,1957/03/19,1958/03/11,1959/08/02,357
3358,2885,770,PAK,750,IND,750770,1959/04/10,1959/04/12,1960/12/15,1961/04/13,613
3357,2869,770,PAK,750,IND,750770,1958/03/11,1959/08/02,1959/04/10,1959/04/12,-114
3359,1310,770,PAK,750,IND,750770,1960/12/15,1961/04/13,1962/09/18,1962/11/04,523
3361,1317,770,PAK,750,IND,750770,1962/01/06,1962/04/27,1963/07/01,1963/08/31,430
3360,2629,770,PAK,750,IND,750770,1962/09/18,1962/11/04,1962/01/06,1962/04/27,-302
3362,2630,770,PAK,750,IND,750770,1963/07/01,1963/08/31,1963/10/16,1963/10/16,46
3363,2631,770,PAK,750,IND,750770,1963/10/16,1963/10/16,1965/01/01,1965/06/30,443
3364,1312,770,PAK,750,IND,750770,1965/01/01,1965/06/30,1964/08/01,1966/01/25,-333
3365,2632,770,PAK,750,IND,750770,1964/08/01,1966/01/25,1966/04/01,1966/08/31,66
3366,1343,770,PAK,750,IND,750770,1966/04/01,1966/08/31,1967/10/09,1967/10/10,404
3367,2633,770,PAK,750,IND,750770,1967/10/09,1967/10/10,1969/03/01,1969/03/30,508
3368,2635,770,PAK,750,IND,750770,1969/03/01,1969/03/30,1969/12/20,1969/12/21,265
3369,2634,770,PAK,750,IND,750770,1969/12/20,1969/12/21,1969/08/12,1970/03/17,-131
3370,1447,770,PAK,750,IND,750770,1969/08/12,1970/03/17,1971/04/07,1971/12/16,386
3371,2638,770,PAK,750,IND,750770,1971/04/07,1971/12/16,1972/05/05,1972/05/05,141
3372,2639,770,PAK,750,IND,750770,1972/05/05,1972/05/05,1981/07/07,1981/11/03,3350
3373,2640,770,PAK,750,IND,750770,1981/07/07,1981/11/03,1982/09/08,1982/09/08,309
3374,2641,770,PAK,750,IND,750770,1982/09/08,1982/09/08,1983/10/20,1984/01/31,407
3375,2642,770,PAK,750,IND,750770,1983/10/20,1984/01/31,1984/06/25,1984/08/30,146
3376,2643,770,PAK,750,IND,750770,1984/06/25,1984/08/30,1985/01/17,1985/10/07,140
3377,2644,770,PAK,750,IND,750770,1985/01/17,1985/10/07,1986/10/14,1986/11/15,372
3378,3959,770,PAK,750,IND,750770,1986/10/14,1986/11/15,1990/02/11,1990/12/22,1184
3379,3985,770,PAK,750,IND,750770,1990/02/11,1990/12/22,1991/05/01,1991/09/02,130
3380,4007,770,PAK,750,IND,750770,1991/05/01,1991/09/02,1993/09/17,1999/07/17,746
3381,4223,770,PAK,750,IND,750770,1993/09/17,1999/07/17,1999/07/18,2000/10/28,1
3382,4277,770,PAK,750,IND,750770,1999/07/18,2000/10/28,2001/07/13,2003/11/22,258
3383,4561,770,PAK,750,IND,750770,2001/07/13,2003/11/22,2004/05/18,2004/05/18,178
3384,4566,770,PAK,750,IND,750770,2004/05/18,2004/05/18,2005/01/18,2005/10/17,245
3385,4585,770,PAK,750,IND,750770,2005/01/18,2005/10/17,2008/05/14,2010/12/31,940
