,disno,statea,namea,stateb,nameb,dyad.id,prev.strt.date,prev.end.date,strt.date,end.date,confl.intvl (=J*-I*)
2670,2103,645,IRQ,630,IRN,630645,NA,NA,1934/12/01,1935/01/31,NA
2671,1138,645,IRQ,630,IRN,630645,1934/12/01,1935/01/31,1959/09/22,1960/01/21,9000
2672,122,645,IRQ,630,IRN,630645,1959/09/22,1960/01/21,1961/06/29,1961/06/29,525
2673,2106,645,IRQ,630,IRN,630645,1961/06/29,1961/06/29,1965/12/18,1966/01/12,1633
2674,2107,645,IRQ,630,IRN,630645,1965/12/18,1966/01/12,1966/05/23,1966/05/23,131
2675,1136,645,IRQ,630,IRN,630645,1966/05/23,1966/05/23,1969/04/06,1969/06/13,1049
2676,2108,645,IRQ,630,IRN,630645,1969/04/06,1969/06/13,1969/09/14,1969/09/14,93
2677,2109,645,IRQ,630,IRN,630645,1969/09/14,1969/09/14,1970/01/20,1970/02/05,128
2678,2110,645,IRQ,630,IRN,630645,1970/01/20,1970/02/05,1971/04/14,1971/05/31,433
2679,1135,645,IRQ,630,IRN,630645,1971/04/14,1971/05/31,1971/11/30,1972/06/03,183
2680,2112,645,IRQ,630,IRN,630645,1971/11/30,1972/06/03,1973/01/02,1975/03/13,213
2681,2113,645,IRQ,630,IRN,630645,1973/01/02,1975/03/13,1979/02/27,1979/06/19,1447
2682,2115,645,IRQ,630,IRN,630645,1979/02/27,1979/06/19,1979/10/24,1988/07/31,127
2683,3914,645,IRQ,630,IRN,630645,1979/10/24,1988/07/31,1989/02/17,1989/03/13,201
2684,3921,645,IRQ,630,IRN,630645,1989/02/17,1989/03/13,1989/10/25,1989/10/25,226
2685,3566,645,IRQ,630,IRN,630645,1989/10/25,1989/10/25,1992/04/05,1992/09/08,893
2686,4072,645,IRQ,630,IRN,630645,1992/04/05,1992/09/08,1993/03/13,1993/07/25,186
2687,4113,645,IRQ,630,IRN,630645,1993/03/13,1993/07/25,1994/11/06,1994/11/06,469
2688,4192,645,IRQ,630,IRN,630645,1994/11/06,1994/11/06,1996/07/27,1997/01/31,629
2689,4205,645,IRQ,630,IRN,630645,1996/07/27,1997/01/31,1997/09/29,1998/04/30,241
2690,4292,645,IRQ,630,IRN,630645,1997/09/29,1998/04/30,1999/06/10,1999/06/10,406
2691,4510,645,IRQ,630,IRN,630645,1999/06/10,1999/06/10,2002/08/22,2003/03/09,1169
2692,4514,645,IRQ,630,IRN,630645,2002/08/22,2003/03/09,2003/04/10,2003/04/12,32
2693,4523,645,IRQ,630,IRN,630645,2003/04/10,2003/04/12,2004/06/15,2005/01/06,430
2694,4529,645,IRQ,630,IRN,630645,2004/06/15,2005/01/06,2005/07/31,2005/08/04,206
2695,4534,645,IRQ,630,IRN,630645,2005/07/31,2005/08/04,2006/09/08,2006/09/08,400
2696,4536,645,IRQ,630,IRN,630645,2006/09/08,2006/09/08,2007/01/20,2009/10/01,134
2698,4546,645,IRQ,630,IRN,630645,2009/02/25,2009/02/25,2009/12/17,2010/01/28,295
2697,4543,645,IRQ,630,IRN,630645,2007/01/20,2009/10/01,2009/02/25,2009/02/25,-218
2699,4547,645,IRQ,630,IRN,630645,2009/12/17,2010/01/28,2010/05/12,2010/12/31,104
2700,4663,645,IRQ,630,IRN,630645,2010/05/12,2010/12/31,2011/06/08,2011/09/14,159
