,disno,statea,namea,stateb,nameb,dyad.id,prev.strt.date,prev.end.date,strt.date,end.date,ici
2926,1793,666,ISR,652,SYR,652666,NA,NA,1948/05/14,1948/10/31,NA
2927,3445,666,ISR,652,SYR,652666,1948/05/14,1948/10/31,1949/04/06,1949/04/13,157
2928,3400,666,ISR,652,SYR,652666,1949/04/06,1949/04/13,1950/07/12,1950/07/12,455
2929,3411,666,ISR,652,SYR,652666,1950/07/12,1950/07/12,1950/02/16,1950/09/04,-146
2930,3401,666,ISR,652,SYR,652666,1950/02/16,1950/09/04,1951/12/28,1951/12/28,480
2931,3413,666,ISR,652,SYR,652666,1951/12/28,1951/12/28,1951/12/16,1952/06/29,-12
2933,3427,666,ISR,652,SYR,652666,1952/01/09,1952/04/25,1950/10/09,1952/07/13,-564
2932,3414,666,ISR,652,SYR,652666,1951/12/16,1952/06/29,1952/01/09,1952/04/25,-172
2934,3428,666,ISR,652,SYR,652666,1950/10/09,1952/07/13,1953/02/22,1953/10/28,224
2935,3403,666,ISR,652,SYR,652666,1953/02/22,1953/10/28,1954/02/28,1954/02/28,123
2936,3415,666,ISR,652,SYR,652666,1954/02/28,1954/02/28,1954/08/15,1954/12/28,168
2937,3404,666,ISR,652,SYR,652666,1954/08/15,1954/12/28,1954/04/06,1955/02/25,-266
2938,3416,666,ISR,652,SYR,652666,1954/04/06,1955/02/25,1955/08/04,1955/08/04,160
2940,3405,666,ISR,652,SYR,652666,1955/03/29,1955/03/31,1955/10/14,1958/02/01,197
2939,3418,666,ISR,652,SYR,652666,1955/08/04,1955/08/04,1955/03/29,1955/03/31,-128
2942,3419,666,ISR,652,SYR,652666,1953/02/01,1958/01/22,1961/10/15,1963/09/08,1362
2941,3417,666,ISR,652,SYR,652666,1955/10/14,1958/02/01,1953/02/01,1958/01/22,-1826
2943,3412,666,ISR,652,SYR,652666,1961/10/15,1963/09/08,1966/09/17,1966/11/27,1105
2944,3434,666,ISR,652,SYR,652666,1966/09/17,1966/11/27,1961/09/27,1966/11/27,-1887
2945,1035,666,ISR,652,SYR,652666,1961/09/27,1966/11/27,1966/12/16,1967/06/10,19
2946,3446,666,ISR,652,SYR,652666,1966/12/16,1967/06/10,1967/06/15,1967/11/27,5
2947,1039,666,ISR,652,SYR,652666,1967/06/15,1967/11/27,1970/06/11,1970/09/26,927
2948,3447,666,ISR,652,SYR,652666,1970/06/11,1970/09/26,1968/09/03,1971/10/17,-753
2949,1046,666,ISR,652,SYR,652666,1968/09/03,1971/10/17,1971/10/18,1973/10/24,1
2950,3437,666,ISR,652,SYR,652666,1971/10/18,1973/10/24,1973/11/07,1974/05/31,14
2951,3438,666,ISR,652,SYR,652666,1973/11/07,1974/05/31,1974/06/08,1975/10/20,8
2952,3439,666,ISR,652,SYR,652666,1974/06/08,1975/10/20,1975/11/26,1977/09/23,37
2953,3440,666,ISR,652,SYR,652666,1975/11/26,1977/09/23,1978/07/01,1978/07/11,281
2954,3441,666,ISR,652,SYR,652666,1978/07/01,1978/07/11,1979/06/27,1980/02/28,351
2955,3107,666,ISR,652,SYR,652666,1979/06/27,1980/02/28,1980/12/09,1981/01/08,285
2956,3448,666,ISR,652,SYR,652666,1980/12/09,1981/01/08,1980/08/24,1981/07/25,-137
2957,3995,666,ISR,652,SYR,652666,1980/08/24,1981/07/25,1982/06/05,1982/06/10,315
2958,3442,666,ISR,652,SYR,652666,1982/06/05,1982/06/10,1982/10/04,1984/06/14,116
2959,3443,666,ISR,652,SYR,652666,1982/10/04,1984/06/14,1985/06/13,1986/08/07,364
2960,4182,666,ISR,652,SYR,652666,1985/06/13,1986/08/07,1993/07/12,1993/08/19,2531
2961,4182,666,ISR,652,SYR,652666,1993/07/12,1993/08/19,1994/05/23,1994/08/22,277
2962,4182,666,ISR,652,SYR,652666,1994/05/23,1994/08/22,1994/05/23,1994/08/22,-91
2963,4182,666,ISR,652,SYR,652666,1994/05/23,1994/08/22,1995/05/22,1995/09/15,273
2964,4182,666,ISR,652,SYR,652666,1995/05/22,1995/09/15,1996/04/11,1996/08/31,209
2965,4182,666,ISR,652,SYR,652666,1996/04/11,1996/08/31,1995/05/22,1996/10/30,-467
2966,4182,666,ISR,652,SYR,652666,1995/05/22,1996/10/30,2000/05/24,2001/07/01,1302
2967,4182,666,ISR,652,SYR,652666,2000/05/24,2001/07/01,2000/05/24,2001/07/01,-403
2968,4511,666,ISR,652,SYR,652666,2000/05/24,2001/07/01,2003/01/08,2003/01/08,556
2969,4517,666,ISR,652,SYR,652666,2003/01/08,2003/01/08,2003/08/17,2003/11/14,221
2970,4532,666,ISR,652,SYR,652666,2003/08/17,2003/11/14,2006/06/28,2006/07/31,957
2971,4539,666,ISR,652,SYR,652666,2006/06/28,2006/07/31,2007/09/06,2007/09/06,402
2972,4691,666,ISR,652,SYR,652666,2007/09/06,2007/09/06,2013/08/28,2013/08/28,2183
2973,4687,666,ISR,652,SYR,652666,2013/08/28,2013/08/28,2011/05/15,2014/12/23,-836
