,disno,statea,namea,stateb,nameb,dyad.id,end.date,prev.end.date,strt.date,prev.strt.date,confl.intvl
1,2968,20,CAN,2,USA,2020,1979/08/31,NA,1979/08/28,NA,NA
2,3900,20,CAN,2,USA,2020,1989/12/11,1979/08/31,1989/12/11,1979/08/28,3755
3,3972,20,CAN,2,USA,2020,1991/07/29,1989/12/11,1991/07/29,1989/12/11,595
4,4183,20,CAN,2,USA,2020,1997/05/28,1991/07/29,1997/05/25,1991/07/29,2127
5,1665,40,CUB,2,USA,2040,1921/01/06,NA,1921/01/06,NA,NA
6,1677,40,CUB,2,USA,2040,1934/01/31,1921/01/06,1933/07/01,1921/01/06,4559
7,246,40,CUB,2,USA,2040,1961/04/26,1934/01/31,1960/04/22,1933/07/01,9578
8,61,40,CUB,2,USA,2040,1962/12/12,1961/04/26,1962/01/28,1960/04/22,277
9,2946,40,CUB,2,USA,2040,1971/12/28,1962/12/12,1971/02/24,1962/01/28,2996
10,2951,40,CUB,2,USA,2040,1974/02/24,1971/12/28,1974/02/23,1971/02/24,788
11,2958,40,CUB,2,USA,2040,1976/01/07,1974/02/24,1976/01/07,1974/02/23,682
12,2962,40,CUB,2,USA,2040,1977/05/01,1976/01/07,1977/04/30,1976/01/07,479
13,2225,40,CUB,2,USA,2040,1979/11/20,1977/05/01,1979/09/04,1977/04/30,856
14,2972,40,CUB,2,USA,2040,1981/07/30,1979/11/20,1981/07/17,1979/09/04,605
15,2981,40,CUB,2,USA,2040,1983/04/19,1981/07/30,1983/04/19,1981/07/17,628
16,3058,40,CUB,2,USA,2040,1983/11/01,1983/04/19,1983/10/25,1983/04/19,189
17,2742,40,CUB,2,USA,2040,1987/05/01,1983/11/01,1987/05/01,1983/10/25,1277
18,3950,40,CUB,2,USA,2040,1990/05/31,1987/05/01,1990/01/31,1987/05/01,1006
19,4196,40,CUB,2,USA,2040,1996/02/24,1990/05/31,1996/02/24,1990/01/31,2095
20,1532,41,HAI,2,USA,2041,1869-11-30,NA,1869-11-01,NA,NA
21,1531,41,HAI,2,USA,2041,1882-02-27,1869-11-30,1882-02-27,1869-11-01,4472
